pull,,,,,push,,,,,legs
,,,,,,,,,,
,,,,,,,,,,
BARBED ROLLS,,4X10,14,,,,,,,
LAT PULL DOWNS,,4X10,,,,,,,,
MACHINE ROWS,,4X10,,,,,,,,
PULLOVERS,,4X10,,,,,,,,
REVERSE MACHINE FLIES,,4X10,,,,,,,,
BICEP CURLS,,4X10,,,,,,,,
HAMMER CURLS,,4X10,,,,,,,,
